stock_id,universe,sub,first_close_date,listed_date
1595,semiconductor,設備,2021-01-04,2011-10-04
2059,ai_chain,AI主鏈,2021-01-04,2008-06-25
2301,ai_chain,AI主鏈,2021-01-04,1995-11-17
2302,semiconductor,功率與分離元件,2021-01-04,1985-01-15
2303,ai_chain;semiconductor,晶圓代工,2021-01-04,1985-07-16
2308,ai_chain,其他,2021-01-04,1988-12-19
2317,ai_chain,AI主鏈,2021-01-04,1991-06-18
2327,ai_chain,濾波器、振盪器,2021-01-04,1993-10-22
2329,semiconductor,封測,2021-01-04,1994-04-20
2330,ai_chain;semiconductor,晶圓代工,2021-01-04,1994-09-05
2337,semiconductor,封測,2021-01-04,1995-03-15
2338,semiconductor,其他,2021-01-04,1995-04-17
2340,ai_chain;semiconductor,封測,2021-01-04,1995-05-02
2342,ai_chain;semiconductor,功率與分離元件,2021-01-04,1995-09-19
2344,ai_chain;semiconductor,記憶體,2021-01-04,1995-10-18
2345,ai_chain,AI主鏈,2021-01-04,1995-11-15
2351,semiconductor,材料與矽晶圓,2021-01-04,1996-04-25
2356,ai_chain,AI主鏈,2021-01-04,1996-11-13
2360,ai_chain,設備,2021-01-04,1996-12-21
2363,semiconductor,其他,2021-01-04,1997-08-01
2368,ai_chain,AI主鏈,2021-01-04,1998-03-09
2376,ai_chain,AI主鏈,2021-01-04,1998-09-24
2379,ai_chain;semiconductor,IC設計,2021-01-04,1998-10-26
2382,ai_chain,AI主鏈,2021-01-04,1999-01-08
2383,ai_chain,AI主鏈,2021-01-04,1998-11-27
2388,semiconductor,其他,2021-01-04,1999-03-05
2401,semiconductor,IC設計,2021-01-04,2000-01-27
2404,ai_chain,AI主鏈,2021-01-04,2000-03-14
2408,ai_chain;semiconductor,記憶體,2021-01-04,2000-08-17
2428,ai_chain,電阻器,2021-01-04,2000-09-11
2434,semiconductor,功率與分離元件,2021-01-04,2000-09-11
2436,semiconductor,IC設計,2021-01-04,2000-09-11
2441,semiconductor,封測,2021-01-04,2000-10-26
2449,ai_chain;semiconductor,封測,2021-01-04,2001-05-09
2451,semiconductor,其他,2021-01-04,2001-05-03
2454,ai_chain;semiconductor,IC設計,2021-01-04,2001-07-23
2455,ai_chain,晶圓代工,2021-01-04,2002-01-24
2456,ai_chain,被動元件,2021-01-04,2021-01-04 (proxy)
2458,semiconductor,IC設計,2021-01-04,2001-09-17
2472,ai_chain,電容器,2021-01-04,2001-09-17
2481,ai_chain;semiconductor,功率與分離元件,2021-01-04,2001-09-17
2492,ai_chain,濾波器、振盪器,2021-01-04,2001-09-17
3006,semiconductor,IC設計,2021-01-04,2002-03-04
3014,semiconductor,IC設計,2021-01-04,2002-10-29
3016,ai_chain;semiconductor,晶圓代工,2021-01-04,2002-12-24
3017,ai_chain,AI主鏈,2021-01-04,2002-09-27
3026,ai_chain,通路,2021-01-04,2002-08-26
3034,ai_chain;semiconductor,IC設計,2021-01-04,2002-08-26
3035,semiconductor,矽智財與ASIC,2021-01-04,2002-08-26
3037,ai_chain,AI主鏈,2021-01-04,2002-08-26
3081,ai_chain,光通訊,2021-01-04,2015-07-22
3094,semiconductor,IC設計,2021-01-04,2007-08-06
3105,ai_chain;semiconductor,晶圓代工,2021-01-04,2011-12-13
3131,semiconductor,設備,2021-01-04,2011-01-17
3135,semiconductor,其他,2021-11-22,2025-08-06
3141,semiconductor,IC設計,2021-01-04,2014-03-14
3150,semiconductor,其他,2021-01-04,2024-06-27
3163,ai_chain,光通訊,2021-01-04,2012-12-03
3169,semiconductor,IC設計,2021-01-04,2009-11-24
3178,semiconductor,設備,2021-01-04,2018-11-19
3189,semiconductor,材料與矽晶圓,2021-01-04,2004-11-01
3227,semiconductor,IC設計,2021-01-04,2006-05-04
3231,ai_chain,AI主鏈,2021-01-04,2003-08-19
3236,ai_chain,電感器,2021-01-04,2004-12-02
3257,semiconductor,IC設計,2021-01-04,2011-03-21
3260,semiconductor,其他,2021-01-04,2004-10-08
3264,semiconductor,封測,2021-01-04,2005-01-05
3265,semiconductor,封測,2021-01-04,2005-08-02
3268,semiconductor,IC設計,2021-01-04,2005-01-27
3317,ai_chain;semiconductor,IC設計,2021-01-04,2007-08-09
3324,ai_chain,AI主鏈,2021-01-04,2005-05-13
3363,ai_chain,光通訊,2021-01-04,2011-02-25
3374,semiconductor,封測,2021-01-04,2015-03-30
3380,ai_chain,光通訊,2021-01-04,2004-12-20
3413,semiconductor,設備,2021-01-04,2015-07-28
3438,semiconductor,IC設計,2021-01-04,2006-07-19
3443,ai_chain;semiconductor,矽智財與ASIC,2021-01-04,2006-11-03
3450,ai_chain;semiconductor,封測,2021-01-04,2006-04-12
3467,semiconductor,設備,2023-12-22,2025-03-25
3527,semiconductor,IC設計,2021-01-04,2007-10-29
3529,semiconductor,矽智財與ASIC,2021-01-04,2011-01-24
3530,semiconductor,IC設計,2021-01-04,2018-07-16
3532,semiconductor,晶圓代工,2021-01-04,2007-12-10
3545,semiconductor,IC設計,2021-01-04,2007-07-03
3555,semiconductor,通路,2021-01-04,2011-11-08
3556,semiconductor,IC設計,2021-01-04,2008-04-15
3567,semiconductor,封測,2021-01-04,2010-11-22
3581,semiconductor,設備,2021-01-04,2015-01-20
3583,semiconductor,設備,2021-01-04,2013-03-12
3588,semiconductor,IC設計,2021-01-04,2009-08-14
3592,semiconductor,IC設計,2021-01-04,2022-01-07
3596,ai_chain,光通訊,2021-01-04,2009-03-11
3624,ai_chain,電感器,2021-01-04,2011-03-16
3653,ai_chain,材料與矽晶圓,2021-01-04,2009-11-18
3661,ai_chain;semiconductor,矽智財與ASIC,2021-01-04,2014-10-28
3675,ai_chain;semiconductor,功率與分離元件,2021-01-04,2012-06-29
3680,ai_chain;semiconductor,設備,2021-01-04,2011-08-31
3706,ai_chain,AI主鏈,2021-01-04,2013-09-12
3707,ai_chain;semiconductor,記憶體,2021-01-04,2014-10-01
3711,ai_chain;semiconductor,封測,2021-01-04,2018-04-30
4749,semiconductor,材料與矽晶圓,2022-02-15,2025-01-17
4908,ai_chain,光通訊,2021-01-04,2002-02-27
4919,semiconductor,IC設計,2021-01-04,2010-09-27
4923,semiconductor,IC設計,2021-01-04,2022-03-14
4951,semiconductor,IC設計,2021-01-04,2022-11-03
4952,semiconductor,IC設計,2021-01-04,2011-11-01
4961,semiconductor,IC設計,2021-01-04,2018-10-17
4966,semiconductor,IC設計,2021-01-04,2011-09-13
4967,semiconductor,其他,2021-01-04,2019-01-14
4968,semiconductor,IC設計,2021-01-04,2015-11-13
4971,semiconductor,功率與分離元件,2021-01-04,2013-07-24
4973,semiconductor,其他,2021-01-04,2012-06-19
4977,ai_chain,光通訊,2021-01-04,2013-11-20
4979,ai_chain,光通訊,2021-01-04,2011-12-12
4991,ai_chain;semiconductor,功率與分離元件,2021-01-04,2014-09-15
5222,semiconductor,其他,2021-01-04,2021-10-25
5236,semiconductor,IC設計,2021-01-04,2026-07-16
5269,semiconductor,IC設計,2021-01-04,2012-12-12
5272,semiconductor,IC設計,2021-01-04,2013-05-30
5274,ai_chain;semiconductor,IC設計,2021-01-04,2013-04-30
5285,semiconductor,材料與矽晶圓,2021-01-04,2014-02-25
5299,ai_chain;semiconductor,IC設計,2021-01-04,2018-01-23
5305,ai_chain,功率元件,,nan (proxy)
5328,ai_chain,電容器,2021-01-04,1997-08-28
5344,semiconductor,封測,2021-01-04,1998-03-23
5347,semiconductor,晶圓代工,2021-01-04,1998-03-25
5351,semiconductor,IC設計,2021-01-04,1998-05-15
5425,ai_chain;semiconductor,功率與分離元件,2021-01-04,2000-02-21
5443,semiconductor,設備,2021-01-04,1998-02-09
5471,semiconductor,IC設計,2021-01-04,2003-08-25
5483,semiconductor,材料與矽晶圓,2021-01-04,2001-03-02
6103,semiconductor,IC設計,2021-01-04,2001-05-07
6104,semiconductor,IC設計,2021-01-04,2001-05-22
6129,semiconductor,IC設計,2021-01-04,2001-12-25
6138,ai_chain;semiconductor,IC設計,2021-01-04,2002-01-18
6147,semiconductor,封測,2021-01-04,2002-01-31
6173,ai_chain,電容器,2021-01-04,2002-04-19
6182,semiconductor,晶圓代工,2021-01-04,2002-05-16
6187,semiconductor,其他,2021-01-04,2002-09-27
6202,semiconductor,IC設計,2021-01-04,2004-09-27
6208,semiconductor,設備,2021-01-04,2002-12-23
6223,semiconductor,設備,2021-01-04,2003-01-06
6229,semiconductor,IC設計,2021-01-04,2003-01-14
6233,semiconductor,IC設計,2021-01-04,2003-02-20
6239,semiconductor,封測,2021-01-04,2004-11-08
6243,semiconductor,IC設計,2021-01-04,2009-12-17
6257,semiconductor,封測,2021-01-04,2003-08-25
6261,semiconductor,封測,2021-01-04,2004-03-29
6271,semiconductor,封測,2021-01-04,2007-11-16
6274,ai_chain,AI主鏈,2021-01-04,2003-12-18
6284,ai_chain,濾波器、振盪器,2021-01-04,2004-06-29
6291,semiconductor,IC設計,2021-01-04,2004-01-28
6411,semiconductor,IC設計,2021-01-04,2014-03-11
6415,semiconductor,IC設計,2021-01-04,2013-12-12
6423,semiconductor,矽智財與ASIC,2021-01-04,2026-01-22
6426,ai_chain,光通訊,2021-01-04,2021-03-24
6435,ai_chain;semiconductor,IC設計,2021-01-04,2016-01-07
6442,ai_chain,光通訊,2021-01-04,2015-07-14
6449,ai_chain,電容器,2021-01-04,2014-12-09
6451,ai_chain;semiconductor,光通訊,2021-01-04,2015-01-26
6485,semiconductor,IC設計,2021-01-04,2015-11-17
6488,ai_chain;semiconductor,晶圓代工,2021-01-04,2015-09-25
6494,semiconductor,IC設計,2021-01-04,2016-05-09
6510,semiconductor,設備,2021-01-04,2016-03-24
6515,ai_chain;semiconductor,設備,2021-01-04,2021-01-20
6525,semiconductor,其他,2021-01-04,2016-04-12
6526,semiconductor,IC設計,2022-06-22,2023-10-19
6531,semiconductor,IC設計,2021-01-04,2016-05-31
6532,semiconductor,設備,2021-01-04,2016-09-26
6548,semiconductor,材料與矽晶圓,2021-01-04,2016-09-13
6552,semiconductor,材料與矽晶圓,2021-01-04,2017-01-10
6568,semiconductor,IC設計,2021-01-04,2016-12-28
6573,ai_chain;semiconductor,功率元件,2021-01-04,2017-09-26
6640,semiconductor,設備,2021-01-04,2018-10-23
6643,semiconductor,矽智財與ASIC,2021-01-04,2019-01-23
6651,semiconductor,IC設計,2021-01-04,2021-02-01
6669,ai_chain,AI主鏈,2021-01-04,2019-03-27
6679,semiconductor,IC設計,2021-01-04,2019-05-09
6683,semiconductor,設備,2021-01-04,2019-04-23
