項目,指標,無股利,殖利率代理
D5,N,36,36
D5,勝率,91.66666666666667,91.66666666666667
D5,平均,9.38576266017366,9.33845818039951
D5,中位,5.694239716752817,5.622334463255526
D5,平均超額方向翻轉,True,True
C1,N,50,50
C1,勝率,60.0,60.0
C1,平均,3.413404477609858,3.1468584302120295
C1,中位,1.9099438691291568,1.5517567967668182
C1,平均超額方向翻轉,True,True
C1_PER,N,50,50
C1_PER,勝率,58.0,58.0
C1_PER,平均,4.263026195776845,4.193618377711915
C1_PER,中位,3.0025186118286995,3.0300814265062037
C1_PER,平均超額方向翻轉,True,True
L1,N,36,36
L1,勝率,41.666666666666664,44.44444444444444
L1,平均,-7.316470492887022,-6.953949473225478
L1,中位,-1.7829442885946492,-1.71134819912417
L1,平均超額方向翻轉,False,False
D0,N,50,50
D0,勝率,60.0,60.0
D0,平均,3.413404477609858,3.1468584302120295
D0,中位,1.9099438691291568,1.5517567967668182
D0,平均超額方向翻轉,True,True
D2,N,50,50
D2,勝率,62.0,60.0
D2,平均,3.6452439956265468,3.3780624372368804
D2,中位,1.9121667072180832,1.6921245404528946
D2,平均超額方向翻轉,True,True
D3,N,36,36
D3,勝率,83.33333333333333,83.33333333333333
D3,平均,5.463998439922612,5.582853649665749
D3,中位,3.6582215743397857,3.875524269966061
D3,平均超額方向翻轉,True,True
MOM_12_1,N,50,50
MOM_12_1,勝率,68.0,64.0
MOM_12_1,平均,6.9649515898153895,6.544191943511297
MOM_12_1,中位,4.0110956945578895,3.4084008236203522
MOM_12_1,平均超額方向翻轉,True,True
D0→D2,N,50,50
D0→D2,勝率,48.0,48.0
D0→D2,平均,0.23183951801668884,0.23120400702485122
D0→D2,中位,0.0,0.0
D0→D2,6m下界,-0.033557063631954855,-0.025707151935625824
D0→D2,6m上界,0.5917498956011091,0.5789586552483864
D0→D2,12m下界,-0.012605824972002192,-0.005566211407929237
D0→D2,12m上界,0.5145917084955953,0.50481074189344
D0→D2,CI判定,不成立（CI 跨0或未全正）,不成立（CI 跨0或未全正）
D2→D3,N,36,36
D2→D3,勝率,55.55555555555556,58.333333333333336
D2→D3,平均,-0.28988761990354506,0.08749949774320454
D2→D3,中位,0.5112965115159727,0.6618393483088083
D2→D3,6m下界,-4.879761818159425,-4.4934292317912155
D2→D3,6m上界,2.5045547428084967,2.8861109211809857
D2→D3,12m下界,-3.598692279696923,-3.196426502843805
D2→D3,12m上界,1.303900675066039,1.6918310208210385
D2→D3,CI判定,不成立（CI 跨0或未全正）,不成立（CI 跨0或未全正）
D3→D5,N,36,36
D3→D5,勝率,72.22222222222223,72.22222222222223
D3→D5,平均,3.921764220251047,3.7556045307337604
D3→D5,中位,1.60450639877971,1.546380136153448
D3→D5,6m下界,1.4732521238215868,1.3668752869144463
D3→D5,6m上界,5.142780772472568,4.975366752608725
D3→D5,12m下界,1.0942997046030014,1.0450308932000496
D3→D5,12m上界,4.437733350193732,4.288924237011861
D3→D5,CI判定,成立,成立
C1→MOM_12_1,N,50,50
C1→MOM_12_1,勝率,60.0,60.0
C1→MOM_12_1,平均,3.551547112205531,3.3973335132992686
C1→MOM_12_1,中位,2.1291148969017604,2.607497249842936
C1→MOM_12_1,6m下界,0.028749672102532847,-0.10390049011312766
C1→MOM_12_1,6m上界,7.401989606910547,7.2461267882924565
C1→MOM_12_1,12m下界,0.23338633393558136,0.10495506343084714
C1→MOM_12_1,12m上界,7.108317548067822,6.935563415856946
C1→MOM_12_1,CI判定,成立,不成立（CI 跨0或未全正）
C1→C1_12_1,N,50,50
C1→C1_12_1,勝率,56.0,56.0
C1→C1_12_1,平均,0.9043346032217805,0.7899975240627901
C1→C1_12_1,中位,0.5748402300003647,0.4648008011395165
C1→C1_12_1,6m下界,-1.3129075799918768,-1.4735108003264865
C1→C1_12_1,6m上界,3.232058842756078,3.170325897349474
C1→C1_12_1,12m下界,-1.1827449575721598,-1.3525533711405153
C1→C1_12_1,12m上界,3.410553431249556,3.326007675925028
C1→C1_12_1,CI判定,不成立（CI 跨0或未全正）,不成立（CI 跨0或未全正）
C1_12_1→MOM_12_1,N,50,50
C1_12_1→MOM_12_1,勝率,64.0,64.0
C1_12_1→MOM_12_1,平均,2.647212508983751,2.6073359892364785
C1_12_1→MOM_12_1,中位,2.2580442227396644,2.0926745485541978
C1_12_1→MOM_12_1,6m下界,0.4702891623290844,0.41370350318381294
C1_12_1→MOM_12_1,6m上界,5.63593751247549,5.595530260780986
C1_12_1→MOM_12_1,12m下界,0.4054655528928299,0.3871589097725544
C1_12_1→MOM_12_1,12m上界,5.73667899221275,5.726553774259338
C1_12_1→MOM_12_1,CI判定,成立,成立
