項目,指標,summary所載,重算值,差異,狀態,原因
D5,N,36.0,36,0.0,MATCH,四捨五入容許範圍內
D5,勝率,91.7,91.66666666666667,-0.03333333333333144,MATCH,四捨五入容許範圍內
D5,平均,9.39,9.38576266017366,-0.004237339826341113,MATCH,四捨五入容許範圍內
D5,中位,5.69,5.694239716752817,0.004239716752816314,MATCH,四捨五入容許範圍內
C1,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
C1,勝率,60.0,60.0,0.0,MATCH,四捨五入容許範圍內
C1,平均,3.41,3.413404477609858,0.00340447760985807,MATCH,四捨五入容許範圍內
C1,中位,1.91,1.9099438691291568,-5.6130870843107417e-05,MATCH,四捨五入容許範圍內
C1_PER,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
C1_PER,勝率,58.0,58.0,0.0,MATCH,四捨五入容許範圍內
C1_PER,平均,4.26,4.263026195776845,0.003026195776845597,MATCH,四捨五入容許範圍內
C1_PER,中位,3.0,3.0025186118286995,0.002518611828699502,MATCH,四捨五入容許範圍內
L1,N,36.0,36,0.0,MATCH,四捨五入容許範圍內
L1,勝率,41.7,41.666666666666664,-0.033333333333338544,MATCH,四捨五入容許範圍內
L1,平均,-7.32,-7.316470492887022,0.0035295071129786137,MATCH,四捨五入容許範圍內
L1,中位,-1.78,-1.7829442885946492,-0.002944288594649125,MATCH,四捨五入容許範圍內
D0,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
D0,勝率,60.0,60.0,0.0,MATCH,四捨五入容許範圍內
D0,平均,3.41,3.413404477609858,0.00340447760985807,MATCH,四捨五入容許範圍內
D0,中位,1.91,1.9099438691291568,-5.6130870843107417e-05,MATCH,四捨五入容許範圍內
D2,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
D2,勝率,62.0,62.0,0.0,MATCH,四捨五入容許範圍內
D2,平均,3.65,3.6452439956265468,-0.004756004373453138,MATCH,四捨五入容許範圍內
D2,中位,1.91,1.9121667072180832,0.002166707218083319,MATCH,四捨五入容許範圍內
D3,N,36.0,36,0.0,MATCH,四捨五入容許範圍內
D3,勝率,83.3,83.33333333333333,0.03333333333333144,MATCH,四捨五入容許範圍內
D3,平均,5.46,5.463998439922612,0.003998439922612285,MATCH,四捨五入容許範圍內
D3,中位,3.66,3.6582215743397857,-0.0017784256602144666,MATCH,四捨五入容許範圍內
MOM_12_1,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
MOM_12_1,勝率,68.0,68.0,0.0,MATCH,四捨五入容許範圍內
MOM_12_1,平均,6.96,6.9649515898153895,0.004951589815389568,MATCH,四捨五入容許範圍內
MOM_12_1,中位,4.01,4.0110956945578895,0.0010956945578897148,MATCH,四捨五入容許範圍內
D0→D2,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
D0→D2,勝率,52.0,48.0,-4.0,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D0→D2,平均,0.25,0.23183951801668884,-0.01816048198331116,MATCH,四捨五入容許範圍內
D0→D2,中位,0.07,0.0,-0.07,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D0→D2,6m下界,-0.01,-0.033557063631954855,-0.023557063631954853,MATCH,四捨五入容許範圍內
D0→D2,6m上界,0.55,0.5917498956011091,0.04174989560110909,MATCH,四捨五入容許範圍內
D0→D2,12m下界,-0.01,-0.012605824972002192,-0.002605824972002192,MATCH,四捨五入容許範圍內
D0→D2,12m上界,0.52,0.5145917084955953,-0.005408291504404694,MATCH,四捨五入容許範圍內
D2→D3,N,36.0,36,0.0,MATCH,四捨五入容許範圍內
D2→D3,勝率,47.2,55.55555555555556,8.355555555555554,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D2→D3,平均,-0.6,-0.28988761990354506,0.3101123800964549,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D2→D3,中位,-0.19,0.5112965115159727,0.7012965115159726,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D2→D3,6m下界,-5.29,-4.879761818159425,0.41023818184057514,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D2→D3,6m上界,2.19,2.5045547428084967,0.3145547428084967,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D2→D3,12m下界,-5.28,-3.598692279696923,1.681307720303077,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D2→D3,12m上界,1.77,1.303900675066039,-0.4660993249339611,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D3→D5,N,36.0,36,0.0,MATCH,四捨五入容許範圍內
D3→D5,勝率,72.2,72.22222222222223,0.022222222222225696,MATCH,四捨五入容許範圍內
D3→D5,平均,2.84,3.921764220251047,1.0817642202510473,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D3→D5,中位,2.86,1.60450639877971,-1.25549360122029,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D3→D5,6m下界,1.13,1.4732521238215868,0.3432521238215869,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
